senior_citizen,tenure,monthly_charges,total_charges,gender_Male,partner_Yes,dependents_Yes,phone_service_Yes,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,online_security_No internet service,online_security_Yes,online_backup_No internet service,online_backup_Yes,device_protection_No internet service,device_protection_Yes,tech_support_No internet service,tech_support_Yes,streaming_t_v_No internet service,streaming_t_v_Yes,streaming_movies_No internet service,streaming_movies_Yes,contract_One year,contract_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn_Yes
0,-1.285566089167874,-1.165522543236504,-0.9972842175267818,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,0.060345819010170096,-0.26407096544550474,-0.1768476700945268,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
0,-1.2447808798291453,-0.36718904260978885,-0.9627399851906187,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
0,0.5089831217361848,-0.7513870397863956,-0.19835509444175473,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
0,-1.2447808798291453,0.1933076026218841,-0.9435487450038614,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
0,-1.0000696237967737,1.1562973877528593,-0.6484668829598942,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True
0,-0.4290766930545732,0.8053632864356988,-0.15042111176839437,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,-0.9184992051193165,-1.1688489328224487,-0.8772617602208665,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.18436543702220157,1.3276064514290082,0.33339667100878545,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
0,1.2023316804945712,-0.29068208213306207,0.5283532006301191,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.7961435771031307,-0.49691823646163,-0.7512834007880269,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,-0.6737879490869448,-1.5280990081044703,-0.8662764296312057,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
0,1.0391908431396566,1.1795821148544714,1.4959225894941797,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False
0,0.6721239590910992,1.2910161659836175,1.2114510567948449,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
0,-0.30672106503838736,1.350891178530621,0.17457261429079454,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,1.4878281458656715,1.608686371441331,2.47271259720659,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0.7944795871072851,-1.4715503851434115,-0.5591504099527906,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,1.5693985645431285,1.3908078535619568,2.246432434176986,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
0,-0.9184992051193165,-0.32228278319953607,-0.7773570167658971,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
0,-0.46986190239330183,0.8369639875021729,-0.18858300317424495,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
1,-1.285566089167874,-0.8395363638139287,-0.9929606737605696,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True
0,-0.8369287864418593,-1.499824696623941,-0.9212251414762772,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-1.285566089167874,-1.4881823330731347,-1.0015636434994608,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True
0,1.0391908431396566,-0.16594247266013784,0.5359194022209901,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False
0,0.6721239590910992,-0.17592164141797167,0.2999774424077082,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,-0.10279501834474433,-0.3189563936135916,-0.3351864310836572,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0.590553540413642,1.146318218995025,1.0847668126654804,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True
0,-1.285566089167874,-1.1538801796856977,-0.9971298052494171,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0,1.6101837738818572,0.8436167666740624,1.7996074212770379,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False
0,-0.6330027397482163,-0.006275772534794672,-0.5282017777895489,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True
1,1.5693985645431285,1.0465265314166856,1.9749756505698193,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False
1,-1.2447808798291453,1.0182522199361563,-0.9303134069440289,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False
0,-0.22515064636093016,0.041956876461402795,-0.18348739802120945,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
0,-1.285566089167874,-1.4865191382801624,-1.0015415846026945,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False
1,-1.285566089167874,-0.6532585470010285,-0.9904900773227343,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.6101837738818572,1.164613361717721,2.1888366547199474,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
0,-1.1224252518129596,0.16004370676243765,-0.8706440911909503,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
0,0.5497683310749134,0.3296895756456144,0.5549782890271491,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
0,0.060345819010170096,1.3791654900111503,0.5553974080657104,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True
0,-0.877713995780588,1.0964223752058553,-0.5227752891850175,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
0,-0.9184992051193165,-0.5102237948054088,-0.8005850350609032,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,1.5286133552044,0.14341175883271443,1.13911993429786,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
0,-0.6330027397482163,-1.4682239955574667,-0.8259307074454826,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,1.2431168898332998,0.497672249735819,1.1343110948027872,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False
0,-0.7961435771031307,0.37625902984883963,-0.5774592942688924,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0.6721239590910992,0.6523493654822452,0.7130964610486155,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
0,-1.2447808798291453,-0.5202029635632426,-0.9676591191695231,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-1.2447808798291453,0.5242833664233765,-0.9468575795188195,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True
0,0.7944795871072851,0.4943458601498745,0.8503469167290794,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False
